1, 5, 1, cat, 1, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0123, 1, 0.6341
1, 5, 1, cat, 2, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0141, 1, 0.6645
1, 5, 1, cat, 3, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0162, 1, 0.6700
1, 5, 1, cat, 4, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0015, 1, 0.6290
1, 5, 1, cat, 5, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0035, 1, 0.6826
1, 5, 1, cat, 6, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton_2back, 0.0055, 1, 0.5366
1, 5, 1, cat, 7, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0074, 1, 0.7590
1, 5, 1, cat, 8, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0094, 1, 0.7008
1, 5, 1, cat, 9, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2_2back, 0.0114, 1, 0.7868
1, 5, 1, cat, 10, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0135, 1, 0.7529
1, 5, 1, cat, 11, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0155, 1, 0.6389
1, 5, 1, cat, 12, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0174, 1, 0.6689
1, 5, 1, cat, 13, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0028, 1, 0.7233
1, 5, 1, cat, 14, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0048, 1, 0.8177
1, 5, 1, cat, 15, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0068, 1, 0.7513
1, 5, 1, cat, 16, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0087, 1, 0.5896
1, 5, 1, cat, 17, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2_2back, 0.0108, 1, 0.6196
1, 5, 1, cat, 18, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0128, 1, 0.6733
1, 5, 1, cat, 19, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0147, 1, 0.8556
1, 5, 1, cat, 20, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0168, 1, 0.6456
1, 5, 1, cat, 21, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1_2back, 0.0021, 1, 0.6763
1, 5, 1, cat, 22, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0041, 1, 0.6983
1, 5, 1, cat, 23, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0061, 1, 0.6644
1, 5, 1, cat, 24, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0081, 1, 0.5984
1, 5, 1, cat, 25, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0101, 1, 0.7083
1, 5, 1, cat, 26, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0119, 1, 0.7304
1, 5, 1, cat, 27, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1_2back, 0.0141, 1, 0.6160
1, 5, 1, cat, 28, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0161, 1, 0.6383
1, 5, 1, cat, 29, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0014, 1, 0.5731
1, 5, 1, cat, 30, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton_2back, 0.0034, 1, 0.5867
1, 5, 2, nback, 1, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0164, 1, 0.7900
1, 5, 2, nback, 2, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0017, 1, 0.6207
1, 5, 2, nback, 3, 1, 2@, 2@, 48, 016.jpg, singleton, nback_singleton_2back, 0.0035, 1, 0.6988
1, 5, 2, nback, 4, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0057, 1, 0.6404
1, 5, 2, nback, 5, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0077, 1, 0.6785
1, 5, 2, nback, 6, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0095, 1, 0.7488
1, 5, 2, nback, 7, 1, 2@, 2@, 30, 057.jpg, same, nback_same_pair2_2back, 0.0117, 1, 0.8504
1, 5, 2, nback, 8, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0137, 1, 0.8163
1, 5, 2, nback, 9, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0157, 1, 0.7827
1, 5, 2, nback, 10, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0176, 1, 0.8686
1, 5, 2, nback, 11, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0030, 1, 0.8591
1, 5, 2, nback, 12, 0, , 2@, 32, 009.jpg, same, nback_same_pair2_2back, 0.0050, 0, -1.0000
1, 5, 2, nback, 13, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0070, 1, 0.6234
1, 5, 2, nback, 14, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0090, 1, 0.5974
1, 5, 2, nback, 15, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0110, 1, 0.5474
1, 5, 2, nback, 16, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0129, 1, 0.5774
1, 5, 2, nback, 17, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0149, 1, 0.4555
1, 5, 2, nback, 18, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0170, 1, 0.4534
1, 5, 2, nback, 19, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0021, 1, 0.5962
1, 5, 2, nback, 20, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0043, 1, 0.5380
1, 5, 2, nback, 21, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0063, 1, 0.5362
1, 5, 2, nback, 22, 1, 2@, 2@, 47, 094.jpg, singleton, nback_singleton_2back, 0.0082, 1, 0.5977
1, 5, 2, nback, 23, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0102, 1, 0.6119
1, 5, 2, nback, 24, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0122, 1, 0.7218
1, 5, 2, nback, 25, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0142, 1, 0.5680
1, 5, 2, nback, 26, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0162, 1, 0.5740
1, 5, 2, nback, 27, 1, 2@, 2@, 39, 065.jpg, different, nback_different_pair1_2back, 0.0015, 1, 0.7168
1, 5, 2, nback, 28, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0035, 1, 0.6108
1, 5, 2, nback, 29, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0054, 1, 0.6809
1, 5, 2, nback, 30, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0075, 1, 0.7346
1, 5, 3, cat, 1, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0039, 1, 0.4584
1, 5, 3, cat, 2, 0, , 1!, 4, 096.jpg, same, cat_same_pair2, 0.0058, 0, -1.0000
1, 5, 3, cat, 3, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1_2back, 0.0077, 1, 0.5107
1, 5, 3, cat, 4, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0098, 1, 0.6523
1, 5, 3, cat, 5, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0118, 1, 0.6665
1, 5, 3, cat, 6, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0138, 1, 0.6164
1, 5, 3, cat, 7, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0158, 1, 0.5103
1, 5, 3, cat, 8, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton_2back, 0.0011, 1, 0.5730
1, 5, 3, cat, 9, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1_2back, 0.0031, 1, 0.5308
1, 5, 3, cat, 10, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0051, 1, 0.5688
1, 5, 3, cat, 11, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0070, 1, 0.5831
1, 5, 3, cat, 12, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0090, 1, 0.6212
1, 5, 3, cat, 13, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton_2back, 0.0111, 1, 0.5948
1, 5, 3, cat, 14, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0130, 1, 0.6252
1, 5, 3, cat, 15, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0150, 1, 0.5753
1, 5, 3, cat, 16, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0170, 0, 0.6132
1, 5, 3, cat, 17, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0024, 1, 0.6915
1, 5, 3, cat, 18, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0044, 1, 0.7778
1, 5, 3, cat, 19, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0064, 1, 0.6876
1, 5, 3, cat, 20, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0083, 1, 0.5741
1, 5, 3, cat, 21, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2_2back, 0.0104, 1, 0.8034
1, 5, 3, cat, 22, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0124, 1, 0.6497
1, 5, 3, cat, 23, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0144, 1, 0.7038
1, 5, 3, cat, 24, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0164, 1, 0.6457
1, 5, 3, cat, 25, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0016, 1, 0.6925
1, 5, 3, cat, 26, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0037, 1, 0.6501
1, 5, 3, cat, 27, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0055, 1, 0.5767
1, 5, 3, cat, 28, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0077, 1, 0.6064
1, 5, 3, cat, 29, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2_2back, 0.0095, 1, 0.6686
1, 5, 3, cat, 30, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0117, 1, 0.6665
1, 5, 4, nback, 1, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0080, 1, 0.5181
1, 5, 4, nback, 2, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0099, 1, 0.4201
1, 5, 4, nback, 3, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0120, 1, 0.8098
1, 5, 4, nback, 4, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0140, 1, 0.7121
1, 5, 4, nback, 5, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0159, 1, 0.7982
1, 5, 4, nback, 6, 1, 2@, 2@, 42, 061.jpg, singleton, nback_singleton_2back, 0.0012, 1, 0.8285
1, 5, 4, nback, 7, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0033, 1, 0.7790
1, 5, 4, nback, 8, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0050, 1, 0.7048
1, 5, 4, nback, 9, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0073, 1, 0.5989
1, 5, 4, nback, 10, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0091, 1, 0.9089
1, 5, 4, nback, 11, 1, 2@, 2@, 45, 022.jpg, singleton, nback_singleton_2back, 0.0113, 1, 0.8827
1, 5, 4, nback, 12, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0132, 1, 0.7929
1, 5, 4, nback, 13, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0151, 1, 0.8070
1, 5, 4, nback, 14, 1, 2@, 2@, 40, 013.jpg, different, nback_different_pair2_2back, 0.0172, 1, 0.6928
1, 5, 4, nback, 15, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0025, 1, 0.6915
1, 5, 4, nback, 16, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0046, 1, 0.8094
1, 5, 4, nback, 17, 1, 2@, 2@, 26, 092.jpg, same, nback_same_pair2_2back, 0.0066, 1, 0.6956
1, 5, 4, nback, 18, 1, 2@, 2@, 31, 023.jpg, same, nback_same_pair1_2back, 0.0084, 1, 0.5817
1, 5, 4, nback, 19, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0105, 1, 0.4915
1, 5, 4, nback, 20, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0124, 1, 0.5216
1, 5, 4, nback, 21, 1, 2@, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0145, 0, 0.8795
1, 5, 4, nback, 22, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0165, 1, 0.6216
1, 5, 4, nback, 23, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0018, 1, 0.6521
1, 5, 4, nback, 24, 1, 2@, 2@, 29, 091.jpg, same, nback_same_pair1_2back, 0.0038, 1, 0.8902
1, 5, 4, nback, 25, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0058, 1, 0.6882
1, 5, 4, nback, 26, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0078, 1, 0.7903
1, 5, 4, nback, 27, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0097, 1, 0.6524
1, 5, 4, nback, 28, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0117, 1, 0.6981
1, 5, 4, nback, 29, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0138, 1, 0.6322
1, 5, 4, nback, 30, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0158, 1, 0.6859
