1, 3, 1, cat, 1, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0122, 1, 0.7773
1, 3, 4, nback, 30, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0157, 1, 0.9013
1, 3, 5, cat, 1, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0119, 1, 0.8813
1, 3, 5, cat, 2, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0139, 1, 0.5910
1, 3, 5, cat, 3, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1_2back, 0.0159, 1, 0.6531
1, 3, 5, cat, 4, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0013, 1, 0.6996
1, 3, 5, cat, 5, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0033, 1, 0.6656
1, 3, 5, cat, 6, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1_2back, 0.0053, 1, 0.7112
1, 3, 5, cat, 7, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0073, 1, 0.7016
1, 3, 5, cat, 8, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0093, 1, 0.6437
1, 3, 5, cat, 9, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton_2back, 0.0113, 1, 0.6977
1, 3, 5, cat, 10, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0132, 1, 0.6477
1, 3, 5, cat, 11, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0153, 1, 0.6936
1, 3, 5, cat, 12, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0173, 1, 0.6677
1, 3, 5, cat, 13, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0026, 1, 0.7223
1, 3, 5, cat, 14, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0046, 1, 0.6640
1, 3, 5, cat, 15, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0066, 1, 0.6463
1, 3, 5, cat, 16, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2_2back, 0.0086, 1, 0.7001
1, 3, 5, cat, 17, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0105, 1, 0.7145
1, 3, 5, cat, 18, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0126, 1, 0.6322
1, 3, 5, cat, 19, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0146, 1, 0.6463
1, 3, 5, cat, 20, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0165, 1, 0.6284
1, 3, 5, cat, 21, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0019, 1, 0.7711
1, 3, 5, cat, 22, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0039, 1, 0.6650
1, 3, 5, cat, 23, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0059, 1, 0.6551
1, 3, 5, cat, 24, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0079, 1, 0.6451
1, 3, 5, cat, 25, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton_2back, 0.0099, 1, 0.6910
1, 3, 5, cat, 26, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0119, 1, 0.6090
1, 3, 5, cat, 27, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0137, 1, 0.7592
1, 3, 5, cat, 28, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2_2back, 0.0159, 1, 0.6691
1, 3, 5, cat, 29, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0179, 1, 0.7306
1, 3, 5, cat, 30, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0032, 0, 0.8896
1, 3, 6, nback, 1, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0162, 1, 0.4928
1, 3, 6, nback, 2, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0015, 1, 0.4513
1, 3, 6, nback, 3, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0035, 1, 0.7693
1, 3, 6, nback, 4, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0055, 1, 0.5835
1, 3, 6, nback, 5, 1, 2@, 2@, 45, 022.jpg, singleton, nback_singleton_2back, 0.0075, 1, 0.5171
1, 3, 6, nback, 6, 1, 2@, 2@, 33, 036.jpg, different, nback_different_pair1_2back, 0.0095, 1, 0.6673
1, 3, 6, nback, 7, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0115, 1, 0.4093
1, 3, 6, nback, 8, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0135, 1, 0.7513
1, 3, 6, nback, 9, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0155, 1, 0.9095
1, 3, 6, nback, 10, 1, 2@, 2@, 43, 010.jpg, singleton, nback_singleton_2back, 0.0175, 1, 0.9235
1, 3, 6, nback, 11, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0028, 1, 0.8420
1, 3, 6, nback, 12, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0048, 1, 0.8000
1, 3, 6, nback, 13, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0067, 1, 0.8857
1, 3, 6, nback, 14, 1, 2@, 2@, 31, 023.jpg, same, nback_same_pair1_2back, 0.0088, 1, 0.6680
1, 3, 6, nback, 15, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0107, 1, 0.8338
1, 3, 6, nback, 16, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0125, 1, 0.9842
1, 3, 6, nback, 17, 1, 2@, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0147, 0, 0.8860
1, 3, 6, nback, 18, 0, , 1!, 36, 004.jpg, different, nback_different_pair2, 0.0167, 0, -1.0000
1, 3, 6, nback, 19, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0020, 1, 0.5787
1, 3, 6, nback, 20, 1, 2@, 2@, 36, 004.jpg, different, nback_different_pair2_2back, 0.0041, 1, 0.7928
1, 3, 6, nback, 21, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0061, 1, 0.7267
1, 3, 6, nback, 22, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0080, 1, 0.6849
1, 3, 6, nback, 23, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0099, 1, 0.8425
1, 3, 6, nback, 24, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0119, 1, 0.8568
1, 3, 6, nback, 25, 1, 2@, 2@, 40, 013.jpg, different, nback_different_pair2_2back, 0.0139, 1, 0.5908
1, 3, 6, nback, 26, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0160, 1, 0.6524
1, 3, 6, nback, 27, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0010, 1, 0.7234
1, 3, 6, nback, 28, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0034, 1, 0.6974
1, 3, 6, nback, 29, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0053, 1, 0.7114
1, 3, 6, nback, 30, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0073, 1, 0.7574
1, 3, 7, cat, 1, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0036, 1, 0.6172
1, 3, 7, cat, 2, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0056, 0, 0.6550
1, 3, 7, cat, 3, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0075, 1, 0.7012
1, 3, 7, cat, 4, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2_2back, 0.0096, 1, 0.8033
1, 3, 7, cat, 5, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0116, 1, 0.7210
1, 3, 7, cat, 6, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0136, 1, 0.7030
1, 3, 7, cat, 7, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton_2back, 0.0156, 1, 0.8212
1, 3, 7, cat, 8, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1_2back, 0.0176, 1, 0.6350
1, 3, 7, cat, 9, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0029, 1, 0.6018
1, 3, 7, cat, 10, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0049, 1, 0.6959
1, 3, 7, cat, 11, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0069, 1, 0.6377
1, 3, 7, cat, 12, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0089, 1, 0.6758
1, 3, 7, cat, 13, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0109, 1, 0.7778
1, 3, 7, cat, 14, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton_2back, 0.0129, 1, 0.6714
1, 3, 7, cat, 15, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0149, 1, 0.6698
1, 3, 7, cat, 16, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0169, 1, 0.6275
1, 3, 7, cat, 17, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0022, 1, 0.7305
1, 3, 7, cat, 18, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0041, 1, 0.6727
1, 3, 7, cat, 19, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0061, 1, 0.6785
1, 3, 7, cat, 20, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2_2back, 0.0081, 1, 0.6926
1, 3, 7, cat, 21, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0101, 1, 0.6665
1, 3, 7, cat, 22, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0121, 1, 0.6965
1, 3, 7, cat, 23, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0142, 1, 0.6705
1, 3, 7, cat, 24, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0162, 1, 0.6286
1, 3, 7, cat, 25, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0015, 1, 0.7472
1, 3, 7, cat, 26, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0035, 1, 0.7053
1, 3, 7, cat, 27, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0055, 1, 0.9269
1, 3, 7, cat, 28, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0075, 1, 0.9648
1, 3, 7, cat, 29, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1_2back, 0.0093, 1, 0.6833
1, 3, 7, cat, 30, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0115, 1, 0.7771
1, 3, 8, nback, 1, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0078, 1, 0.9087
1, 3, 8, nback, 2, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0096, 1, 0.6188
1, 3, 8, nback, 3, 1, 2@, 2@, 46, 051.jpg, singleton, nback_singleton_2back, 0.0118, 1, 0.8488
1, 3, 8, nback, 4, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0138, 1, 0.8068
1, 3, 8, nback, 5, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0158, 1, 0.7568
1, 3, 8, nback, 6, 0, , 1!, 28, 074.jpg, same, nback_same_pair2, 0.0177, 0, -1.0000
1, 3, 8, nback, 7, 0, , 1!, 43, 010.jpg, singleton, nback_singleton, 0.0031, 0, -1.0000
1, 3, 8, nback, 8, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0051, 1, 0.4476
1, 3, 8, nback, 9, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0070, 1, 0.5013
1, 3, 8, nback, 10, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0089, 1, 0.6197
1, 3, 8, nback, 11, 1, 2@, 2@, 26, 092.jpg, same, nback_same_pair2_2back, 0.0111, 1, 0.7695
1, 3, 8, nback, 12, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0131, 1, 0.6552
1, 3, 8, nback, 13, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0150, 1, 0.6452
1, 3, 8, nback, 14, 1, 2@, 2@, 32, 009.jpg, same, nback_same_pair2_2back, 0.0170, 1, 0.7155
1, 3, 8, nback, 15, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0024, 1, 0.6103
1, 3, 8, nback, 16, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0044, 1, 0.6562
1, 3, 8, nback, 17, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0064, 1, 0.6382
1, 3, 8, nback, 18, 1, 2@, 2@, 39, 065.jpg, different, nback_different_pair1_2back, 0.0082, 1, 0.6284
1, 3, 8, nback, 19, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0104, 1, 0.6181
1, 3, 8, nback, 20, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0123, 1, 0.7761
1, 3, 8, nback, 21, 1, 2@, 2@, 42, 061.jpg, singleton, nback_singleton_2back, 0.0143, 1, 0.7581
1, 3, 8, nback, 22, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0163, 1, 0.7081
1, 3, 8, nback, 23, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0016, 1, 0.7550
1, 3, 8, nback, 24, 0, , 1!, 44, 089.jpg, singleton, nback_singleton, 0.0037, 0, -1.0000
1, 3, 8, nback, 25, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0055, 1, 0.4629
1, 3, 8, nback, 26, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0076, 1, 0.7489
1, 3, 8, nback, 27, 1, 2@, 2@, 37, 083.jpg, different, nback_different_pair1_2back, 0.0095, 1, 0.8109
1, 3, 8, nback, 28, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0116, 1, 0.7449
1, 3, 8, nback, 29, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0136, 1, 0.6870
1, 3, 8, nback, 30, 1, 2@, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0156, 0, 0.7408
