1, 2, 1, nback, 1, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0123, 1, 0.9649
1, 2, 1, nback, 2, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0143, 1, 0.5868
1, 2, 1, nback, 3, 1, 2@, 2@, 42, 061.jpg, singleton, nback_singleton_2back, 0.0163, 1, 0.6090
1, 2, 1, nback, 4, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0016, 1, 0.6235
1, 2, 1, nback, 5, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0034, 1, 0.7814
1, 2, 1, nback, 6, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0056, 1, 0.6916
1, 2, 1, nback, 7, 1, 2@, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0076, 0, 0.7772
1, 2, 1, nback, 8, 1, 2@, 2@, 31, 023.jpg, same, nback_same_pair1_2back, 0.0094, 1, 0.8796
1, 2, 1, nback, 9, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0113, 1, 0.6937
1, 2, 1, nback, 10, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0136, 1, 0.5316
1, 2, 1, nback, 11, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0156, 1, 0.5696
1, 2, 1, nback, 12, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0174, 1, 0.5993
1, 2, 1, nback, 13, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0029, 1, 0.9822
1, 2, 1, nback, 14, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0047, 1, 0.6844
1, 2, 1, nback, 15, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0069, 1, 0.6343
1, 2, 1, nback, 16, 0, , 1!, 27, 030.jpg, same, nback_same_pair1, 0.0088, 0, -1.0000
1, 2, 1, nback, 17, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0108, 1, 0.4462
1, 2, 1, nback, 18, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0128, 1, 0.4599
1, 2, 1, nback, 19, 1, 2@, 2@, 28, 074.jpg, same, nback_same_pair2_2back, 0.0147, 1, 0.6983
1, 2, 1, nback, 20, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0166, 1, 0.4964
1, 2, 1, nback, 21, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0022, 1, 0.5829
1, 2, 1, nback, 22, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0042, 1, 0.6848
1, 2, 1, nback, 23, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0061, 1, 0.6670
1, 2, 1, nback, 24, 1, 1!, 2@, 29, 091.jpg, same, nback_same_pair1_2back, 0.0080, 0, 0.6970
1, 2, 1, nback, 25, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0101, 1, 0.5188
1, 2, 1, nback, 26, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0121, 1, 0.6445
1, 2, 1, nback, 27, 1, 2@, 2@, 47, 094.jpg, singleton, nback_singleton_2back, 0.0141, 1, 0.9229
1, 2, 1, nback, 28, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0161, 1, 0.5929
1, 2, 1, nback, 29, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0014, 1, 0.7436
1, 2, 1, nback, 30, 1, 2@, 2@, 34, 042.jpg, different, nback_different_pair2_2back, 0.0034, 1, 0.6777
1, 2, 2, cat, 1, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0163, 0, 0.7847
1, 2, 2, cat, 2, 1, 1!, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0017, 0, 0.7511
1, 2, 2, cat, 3, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0037, 1, 0.7733
1, 2, 2, cat, 4, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0057, 1, 0.6911
1, 2, 2, cat, 5, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0077, 1, 0.9052
1, 2, 2, cat, 6, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0095, 1, 0.7594
1, 2, 2, cat, 7, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0117, 1, 0.7649
1, 2, 2, cat, 8, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0136, 1, 0.7473
1, 2, 2, cat, 9, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton_2back, 0.0156, 1, 0.8173
1, 2, 2, cat, 10, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1_2back, 0.0008, 1, 0.8561
1, 2, 2, cat, 11, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0029, 1, 0.9742
1, 2, 2, cat, 12, 1, 1!, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0050, 0, 0.8916
1, 2, 2, cat, 13, 0, , 1!, 12, 041.jpg, different, cat_different_pair2, 0.0070, 0, -1.0000
1, 2, 2, cat, 14, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0089, 1, 0.6000
1, 2, 2, cat, 15, 1, 1!, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0110, 0, 0.6699
1, 2, 2, cat, 16, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton_2back, 0.0130, 1, 0.6599
1, 2, 2, cat, 17, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1_2back, 0.0149, 1, 0.7138
1, 2, 2, cat, 18, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0168, 1, 0.8321
1, 2, 2, cat, 19, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0023, 1, 0.7827
1, 2, 2, cat, 20, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0043, 1, 0.8366
1, 2, 2, cat, 21, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0062, 0, 0.7627
1, 2, 2, cat, 22, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0082, 1, 0.6484
1, 2, 2, cat, 23, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2_2back, 0.0102, 0, 0.8704
1, 2, 2, cat, 24, 1, 1!, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0123, 0, 0.7325
1, 2, 2, cat, 25, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0142, 0, 0.6827
1, 2, 2, cat, 26, 1, 1!, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0161, 0, 0.8167
1, 2, 2, cat, 27, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0015, 1, 0.6153
1, 2, 2, cat, 28, 1, 1!, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0034, 0, 0.7496
1, 2, 2, cat, 29, 1, 1!, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0055, 0, 0.7473
1, 2, 2, cat, 30, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2_2back, 0.0076, 1, 0.7213
1, 2, 3, nback, 1, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0039, 1, 0.9250
1, 2, 3, nback, 2, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0059, 1, 0.4990
1, 2, 3, nback, 3, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0078, 1, 0.5287
1, 2, 3, nback, 4, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0098, 1, 0.7270
1, 2, 3, nback, 5, 1, 2@, 2@, 40, 013.jpg, different, nback_different_pair2_2back, 0.0117, 1, 0.5811
1, 2, 3, nback, 6, 1, 2@, 2@, 33, 036.jpg, different, nback_different_pair1_2back, 0.0138, 1, 0.7390
1, 2, 3, nback, 7, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0158, 1, 0.7130
1, 2, 3, nback, 8, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0011, 1, 0.8317
1, 2, 3, nback, 9, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0031, 1, 0.6296
1, 2, 3, nback, 10, 1, 2@, 2@, 43, 010.jpg, singleton, nback_singleton_2back, 0.0052, 1, 0.6273
1, 2, 3, nback, 11, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0072, 1, 0.7777
1, 2, 3, nback, 12, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0091, 1, 0.8717
1, 2, 3, nback, 13, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0111, 1, 0.6693
1, 2, 3, nback, 14, 1, 2@, 2@, 32, 009.jpg, same, nback_same_pair2_2back, 0.0131, 1, 0.9078
1, 2, 3, nback, 15, 1, 2@, 2@, 37, 083.jpg, different, nback_different_pair1_2back, 0.0150, 1, 0.8338
1, 2, 3, nback, 16, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0170, 1, 0.6078
1, 2, 3, nback, 17, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0024, 1, 0.7344
1, 2, 3, nback, 18, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0044, 1, 0.7320
1, 2, 3, nback, 19, 1, 2@, 2@, 46, 051.jpg, singleton, nback_singleton_2back, 0.0064, 1, 0.7784
1, 2, 3, nback, 20, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0083, 1, 0.8564
1, 2, 3, nback, 21, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0103, 1, 0.7821
1, 2, 3, nback, 22, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0124, 1, 0.8684
1, 2, 3, nback, 23, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0144, 1, 0.9060
1, 2, 3, nback, 24, 0, , 1!, 47, 094.jpg, singleton, nback_singleton, 0.0163, 0, -1.0000
1, 2, 3, nback, 25, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0017, 1, 0.6467
1, 2, 3, nback, 26, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0036, 1, 0.7248
1, 2, 3, nback, 27, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0057, 1, 0.9310
1, 2, 3, nback, 28, 0, , 1!, 42, 061.jpg, singleton, nback_singleton, 0.0076, 0, -1.0000
1, 2, 3, nback, 29, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0096, 1, 0.7588
1, 2, 3, nback, 30, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0117, 1, 0.7649
1, 2, 4, cat, 1, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0080, 1, 0.6726
1, 2, 4, cat, 2, 1, 1!, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0099, 0, 0.8467
1, 2, 4, cat, 3, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0120, 1, 0.6847
1, 2, 4, cat, 4, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0140, 1, 0.6504
1, 2, 4, cat, 5, 1, 1!, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0158, 0, 0.8248
1, 2, 4, cat, 6, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0012, 1, 0.7432
1, 2, 4, cat, 7, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2_2back, 0.0033, 1, 0.7891
1, 2, 4, cat, 8, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0052, 1, 0.7716
1, 2, 4, cat, 9, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0072, 1, 0.8175
1, 2, 4, cat, 10, 1, 1!, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0093, 0, 0.9031
1, 2, 4, cat, 11, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton_2back, 0.0113, 1, 0.8853
1, 2, 4, cat, 12, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1_2back, 0.0133, 1, 0.8194
1, 2, 4, cat, 13, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0153, 1, 0.8090
1, 2, 4, cat, 14, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0173, 1, 0.8473
1, 2, 4, cat, 15, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0025, 0, 0.7502
1, 2, 4, cat, 16, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0045, 1, 0.8041
1, 2, 4, cat, 17, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0066, 1, 0.7621
1, 2, 4, cat, 18, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0084, 0, 0.8322
1, 2, 4, cat, 19, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton_2back, 0.0105, 1, 0.8221
1, 2, 4, cat, 20, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0126, 1, 0.8200
1, 2, 4, cat, 21, 1, 2@, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0146, 0, 0.7781
1, 2, 4, cat, 22, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2_2back, 0.0164, 1, 0.8164
1, 2, 4, cat, 23, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0019, 1, 0.9028
1, 2, 4, cat, 24, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0035, 1, 0.7888
1, 2, 4, cat, 25, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1_2back, 0.0058, 1, 0.8108
1, 2, 4, cat, 26, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0078, 1, 0.7845
1, 2, 4, cat, 27, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0098, 0, 0.6464
1, 2, 4, cat, 28, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0119, 1, 0.9887
1, 2, 4, cat, 29, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0136, 1, 0.8749
