1, 2, 1, nback, 1, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0123, 1, 0.9649
1, 2, 4, cat, 30, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0159, 1, 0.8164
1, 2, 5, nback, 1, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0122, 1, 0.7644
1, 2, 5, nback, 2, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0141, 1, 0.5865
1, 2, 5, nback, 3, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0161, 1, 0.7044
1, 2, 5, nback, 4, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0014, 1, 0.5748
1, 2, 5, nback, 5, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0035, 1, 0.6051
1, 2, 5, nback, 6, 1, 2@, 2@, 45, 022.jpg, singleton, nback_singleton_2back, 0.0054, 1, 0.5468
1, 2, 5, nback, 7, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0074, 1, 0.8091
1, 2, 5, nback, 8, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0094, 1, 0.7511
1, 2, 5, nback, 9, 1, 2@, 2@, 30, 057.jpg, same, nback_same_pair2_2back, 0.0114, 1, 0.7250
1, 2, 5, nback, 10, 0, , 1!, 34, 042.jpg, different, nback_different_pair2, 0.0134, 0, -1.0000
1, 2, 5, nback, 11, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0153, 1, 0.7132
1, 2, 5, nback, 12, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0173, 1, 0.6874
1, 2, 5, nback, 13, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0024, 1, 0.7661
1, 2, 5, nback, 14, 1, 2@, 2@, 39, 065.jpg, different, nback_different_pair1_2back, 0.0048, 1, 0.8039
1, 2, 5, nback, 15, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0065, 1, 0.6417
1, 2, 5, nback, 16, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0085, 1, 0.8237
1, 2, 5, nback, 17, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0106, 1, 0.5976
1, 2, 5, nback, 18, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0126, 1, 0.8040
1, 2, 5, nback, 19, 0, , 2@, 25, 072.jpg, same, nback_same_pair1_2back, 0.0147, 0, -1.0000
1, 2, 5, nback, 20, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0166, 1, 0.8959
1, 2, 5, nback, 21, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0020, 1, 0.9426
1, 2, 5, nback, 22, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0038, 1, 0.8204
1, 2, 5, nback, 23, 1, 2@, 2@, 44, 089.jpg, singleton, nback_singleton_2back, 0.0060, 1, 0.7382
1, 2, 5, nback, 24, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0080, 1, 0.9524
1, 2, 5, nback, 25, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0098, 1, 0.7668
1, 2, 5, nback, 26, 1, 1!, 2@, 36, 004.jpg, different, nback_different_pair2_2back, 0.0118, 0, 0.7164
1, 2, 5, nback, 27, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0140, 1, 0.7302
1, 2, 5, nback, 28, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0160, 1, 0.8805
1, 2, 5, nback, 29, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0013, 1, 0.6712
1, 2, 5, nback, 30, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0034, 1, 0.9972
1, 2, 6, cat, 1, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0162, 1, 0.6480
1, 2, 6, cat, 2, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0016, 1, 0.9668
1, 2, 6, cat, 3, 1, 2@, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0034, 0, 0.8530
1, 2, 6, cat, 4, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0056, 1, 0.6828
1, 2, 6, cat, 5, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0075, 1, 0.7769
1, 2, 6, cat, 6, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0095, 1, 0.6788
1, 2, 6, cat, 7, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0116, 1, 0.6609
1, 2, 6, cat, 8, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0136, 1, 0.5788
1, 2, 6, cat, 9, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2_2back, 0.0156, 1, 0.7285
1, 2, 6, cat, 10, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton_2back, 0.0174, 1, 0.7991
1, 2, 6, cat, 11, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0029, 1, 0.6132
1, 2, 6, cat, 12, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0049, 1, 0.5475
1, 2, 6, cat, 13, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0069, 1, 0.6654
1, 2, 6, cat, 14, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0089, 0, 0.6956
1, 2, 6, cat, 15, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0109, 1, 0.6854
1, 2, 6, cat, 16, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0129, 1, 0.8912
1, 2, 6, cat, 17, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton_2back, 0.0147, 1, 0.6737
1, 2, 6, cat, 18, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0167, 1, 0.7756
1, 2, 6, cat, 19, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0022, 0, 0.8302
1, 2, 6, cat, 20, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0042, 1, 0.9482
1, 2, 6, cat, 21, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1_2back, 0.0062, 1, 0.8099
1, 2, 6, cat, 22, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0080, 0, 0.7203
1, 2, 6, cat, 23, 1, 1!, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0100, 0, 0.7585
1, 2, 6, cat, 24, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1_2back, 0.0120, 1, 0.7723
1, 2, 6, cat, 25, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0139, 1, 0.6583
1, 2, 6, cat, 26, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0161, 1, 0.6959
1, 2, 6, cat, 27, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0014, 1, 0.6629
1, 2, 6, cat, 28, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0033, 1, 0.7731
1, 2, 6, cat, 29, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0054, 1, 0.8749
1, 2, 6, cat, 30, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2_2back, 0.0074, 1, 0.7930
1, 2, 7, nback, 1, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0036, 1, 0.7808
1, 2, 7, nback, 2, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0057, 1, 0.6105
1, 2, 7, nback, 3, 1, 1!, 1!, 43, 010.jpg, singleton, nback_singleton, 0.0077, 1, 0.5366
1, 2, 7, nback, 4, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0096, 1, 0.6387
1, 2, 7, nback, 5, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0116, 1, 0.7008
1, 2, 7, nback, 6, 1, 2@, 2@, 41, 006.jpg, singleton, nback_singleton_2back, 0.0137, 1, 0.6906
1, 2, 7, nback, 7, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0156, 1, 0.6568
1, 2, 7, nback, 8, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0177, 1, 0.8383
1, 2, 7, nback, 9, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0030, 1, 0.8693
1, 2, 7, nback, 10, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0050, 1, 0.7310
1, 2, 7, nback, 11, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0070, 1, 0.8092
1, 2, 7, nback, 12, 1, 2@, 2@, 26, 092.jpg, same, nback_same_pair2_2back, 0.0088, 1, 0.9355
1, 2, 7, nback, 13, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0110, 1, 0.8694
1, 2, 7, nback, 14, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0129, 1, 0.8354
1, 2, 7, nback, 15, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0148, 1, 0.8013
1, 2, 7, nback, 16, 1, 2@, 2@, 35, 025.jpg, different, nback_different_pair1_2back, 0.0170, 1, 0.8233
1, 2, 7, nback, 17, 1, 1!, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0023, 1, 0.8940
1, 2, 7, nback, 18, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0044, 1, 0.8759
1, 2, 7, nback, 19, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0063, 1, 0.9616
1, 2, 7, nback, 20, 1, 2@, 2@, 27, 030.jpg, same, nback_same_pair1_2back, 0.0081, 1, 0.7202
1, 2, 7, nback, 21, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0103, 1, 0.9579
1, 2, 7, nback, 22, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0123, 1, 0.7880
1, 2, 7, nback, 23, 1, 2@, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0142, 0, 0.7781
1, 2, 7, nback, 24, 0, , 2@, 48, 016.jpg, singleton, nback_singleton_2back, 0.0162, 0, -1.0000
1, 2, 7, nback, 25, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0015, 1, 0.7669
1, 2, 7, nback, 26, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0036, 1, 0.7725
1, 2, 7, nback, 27, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0056, 1, 0.7623
1, 2, 7, nback, 28, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0076, 1, 0.7607
1, 2, 7, nback, 29, 1, 2@, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0095, 0, 0.8387
1, 2, 7, nback, 30, 1, 2@, 2@, 38, 005.jpg, different, nback_different_pair2_2back, 0.0116, 1, 0.9247
1, 2, 8, cat, 1, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0079, 1, 0.4802
1, 2, 8, cat, 2, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0097, 1, 0.6946
1, 2, 8, cat, 3, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0117, 1, 0.6764
1, 2, 8, cat, 4, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1_2back, 0.0139, 1, 0.6901
1, 2, 8, cat, 5, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0157, 1, 0.8085
1, 2, 8, cat, 6, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0010, 1, 0.8232
1, 2, 8, cat, 7, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton_2back, 0.0032, 1, 0.8130
1, 2, 8, cat, 8, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0052, 1, 0.6990
1, 2, 8, cat, 9, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0072, 1, 0.7130
1, 2, 8, cat, 10, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2_2back, 0.0090, 1, 0.8632
1, 2, 8, cat, 11, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1_2back, 0.0112, 1, 0.7009
1, 2, 8, cat, 12, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0130, 0, 0.8032
1, 2, 8, cat, 13, 0, , 1!, 3, 066.jpg, same, cat_same_pair1, 0.0152, 0, -1.0000
1, 2, 8, cat, 14, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0170, 1, 0.6792
1, 2, 8, cat, 15, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0024, 1, 0.7017
1, 2, 8, cat, 16, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0045, 1, 0.6594
1, 2, 8, cat, 17, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0065, 1, 0.6017
1, 2, 8, cat, 18, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0084, 1, 0.7677
1, 2, 8, cat, 19, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0105, 1, 0.6777
1, 2, 8, cat, 20, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0124, 1, 0.8038
1, 2, 8, cat, 21, 1, 2@, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0144, 0, 0.7697
1, 2, 8, cat, 22, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0164, 1, 0.6077
1, 2, 8, cat, 23, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2_2back, 0.0017, 1, 0.7024
1, 2, 8, cat, 24, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0037, 1, 0.7323
1, 2, 8, cat, 25, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0056, 1, 0.7862
1, 2, 8, cat, 26, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0075, 1, 0.6807
1, 2, 8, cat, 27, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0096, 1, 0.8545
1, 2, 8, cat, 28, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton_2back, 0.0117, 1, 0.8204
1, 2, 8, cat, 29, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0137, 1, 0.8345
1, 2, 8, cat, 30, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0156, 1, 0.7045
